,radius,theta,phi,value
0,0.0,0.0,0.0,1.0000000000186808
1,0.0,1.8,0.0,1.0000000000186808
2,0.0,3.6,0.0,1.0000000000186808
3,0.0,5.4,0.0,1.0000000000186808
4,0.0,7.2,0.0,1.0000000000186808
5,0.0,9.0,0.0,1.0000000000186808
6,0.0,10.8,0.0,1.0000000000186808
7,0.0,12.6,0.0,1.0000000000186808
8,0.0,14.4,0.0,1.0000000000186808
9,0.0,16.2,0.0,1.0000000000186808
10,0.0,18.0,0.0,1.0000000000186808
11,0.0,19.8,0.0,1.0000000000186808
12,0.0,21.6,0.0,1.0000000000186808
13,0.0,23.4,0.0,1.0000000000186808
14,0.0,25.2,0.0,1.0000000000186808
15,0.0,27.0,0.0,1.0000000000186808
16,0.0,28.8,0.0,1.0000000000186808
17,0.0,30.6,0.0,1.0000000000186808
18,0.0,32.4,0.0,1.0000000000186808
19,0.0,34.2,0.0,1.0000000000186808
20,0.0,36.0,0.0,1.0000000000186808
21,0.0,37.8,0.0,1.0000000000186808
22,0.0,39.6,0.0,1.0000000000186808
23,0.0,41.4,0.0,1.0000000000186808
24,0.0,43.2,0.0,1.0000000000186808
25,0.0,45.0,0.0,1.0000000000186808
26,0.0,46.8,0.0,1.0000000000186808
27,0.0,48.6,0.0,1.0000000000186808
28,0.0,50.4,0.0,1.0000000000186808
29,0.0,52.2,0.0,1.0000000000186808
30,0.0,54.0,0.0,1.0000000000186808
31,0.0,55.8,0.0,1.0000000000186808
32,0.0,57.6,0.0,1.0000000000186808
33,0.0,59.4,0.0,1.0000000000186808
34,0.0,61.2,0.0,1.0000000000186808
35,0.0,63.0,0.0,1.0000000000186808
36,0.0,64.8,0.0,1.0000000000186808
37,0.0,66.6,0.0,1.0000000000186808
38,0.0,68.4,0.0,1.0000000000186808
39,0.0,70.2,0.0,1.0000000000186808
40,0.0,72.0,0.0,1.0000000000186808
41,0.0,73.8,0.0,1.0000000000186808
42,0.0,75.6,0.0,1.0000000000186808
