,radius,theta,value
0,849.2782924095441,171.14032850168226,0.8720263783162129
1,841.3669597067163,169.1526959930474,0.9034873923690057
2,834.4866487000149,167.1298173035931,0.925692967737656
3,828.6630412148521,165.07591343873764,0.9473201154631459
4,823.9185444791977,162.9956533855,0.9631273297308018
5,820.2718836107931,160.89410333946577,0.9746977016148561
6,816.891286469123,157.7137405187539,0.9861487714643746
7,816.1499142536786,153.9838585337113,0.9947394449326006
8,818.8649975648552,150.2629793619165,1.0013874947109196
9,825.0024115182867,146.58208154119106,1.0072237554798091
10,834.4866487000148,142.9701826964069,1.012006175521765
11,847.205316189453,139.4530623998868,1.017319666900042
12,844.3644523375249,128.30777025350983,1.0271277657667335
13,789.9304058237615,126.25123649347034,1.0230062113149652
14,736.964146360549,123.87818240119697,1.0200682646075467
15,685.8058393593401,121.12552713773408,1.0181014878283614
16,636.8913053890758,117.9183971582042,1.016377985681755
17,590.7781392057675,114.170822072878,1.015268330710653
18,548.1737625507567,109.78998630408321,1.0140702940196769
19,509.9583585324134,104.68711712118161,1.012798719090319
20,477.1875629430105,98.79879816212788,1.0121581567901883
21,451.0496672433111,92.12070549592279,1.0112204343024884
22,432.74822208243637,84.7481598670312,1.0102569476771754
23,423.30087929640985,76.90398430334957,1.009024255428808
24,423.30087929640985,68.92493940588716,1.0079954431470148
25,432.74822208243637,61.19410270183481,1.0065367923363915
26,451.04966724331115,54.047285114340724,1.0050542582824376
27,477.1875629430105,47.70520676592611,1.003431105479341
28,509.9583585324134,42.259569166414934,1.0012569307727048
29,548.1737625507567,37.70047960431128,0.9990849003878749
30,590.7781392057676,33.956629927023755,0.9968743378741203
31,636.8913053890758,30.928866790109538,0.994397987541684
32,685.8058393593401,28.511669066130537,0.9922313089998468
33,736.964146360549,26.60457324122072,0.9906733559817219
34,789.9304058237616,25.11726945656224,0.9907545266821539
35,844.364452337525,23.971286617587594,0.9947163349110812
36,796.6114178865447,24.623984418869583,0.9900639105813964
37,745.1724134788803,25.544229985016898,0.9890190775894178
38,693.9541050713774,26.600622815696568,0.9894976953924891
