,edep,true_hit,radius,theta,phi,cor_hit
0,9.021990776062012,38454,48.11176195328321,73.34971453224804,221.92672832169686,38453.302338025904
1,9.021987915039062,39234,98.46445857952543,99.41969906412442,301.4331042635353,39233.8243359862
2,8.960634231567383,39121,87.50340309700623,66.1334809843831,110.20573481592523,39120.52575655335
3,9.021988868713379,38979,52.54228554996296,133.45098100671532,42.5673905494186,38977.664976802895
4,9.021989822387695,39501,16.33090428361654,72.2394434959293,283.66617891406355,39500.557140445046
5,9.021984100341797,39511,66.5250280850959,147.1537762080904,275.881373104206,39509.12867774755
6,8.645002365112305,37472,18.41893644607965,40.554170664569895,44.53037061003157,37471.28986179605
7,9.021985054016113,38876,28.6459552478017,112.38076270392526,323.8945646608256,38875.31644125943
8,9.021982192993164,38349,51.67030970681236,63.28853758721935,80.31595101901385,38348.134409252525
9,8.692273139953613,37727,20.82943952887662,116.9093974947027,297.43129455378613,37726.410385283416
10,9.021988868713379,39550,18.070379967688012,122.7750666402811,115.49649240564663,39549.398319911146
11,9.021985054016113,38083,25.631000817018798,73.37749911013142,281.81195349357444,38082.44228772575
12,9.021988868713379,38480,34.67254053229873,169.68386468724597,162.7628831728481,38478.256812876265
13,9.021988868713379,39255,33.29268231142281,28.577187591346718,281.3021285240467,39253.59042213868
14,9.021982192993164,39372,84.70452119935042,68.00433435324486,17.164933180755725,39371.524825195935
15,9.021991729736328,38924,62.1325649847443,55.636489225539464,321.3856884059023,38922.96798411742
16,9.021986961364746,39167,38.74938946390457,164.72770774662388,255.0250534469912,39165.15156943245
17,8.961941719055176,38658,140.90666795474357,27.395866592990956,202.5958083579394,38658.36192882208
18,9.021990776062012,38727,102.23917754113155,89.16889885098217,241.5316991060815,38726.61787694275
19,9.02198600769043,39750,97.74487727866259,68.04555289754916,65.9021625182384,39749.64932644168
20,9.021987915039062,38905,49.136342516323154,98.37177911319763,12.149202134419097,38904.37907392598
21,9.021994590759277,38917,10.90726487470748,107.92618337218863,103.6264963462874,38916.68780152078
22,3.924999475479126,16734,116.19829048049823,92.0641162803921,130.8443772301161,16729.03681237455
23,9.021984100341797,39040,40.49428029642843,89.39169576273005,35.113876252816155,39039.41655730718
24,9.021989822387695,39285,31.916119417519585,97.30183747362746,78.01337756501258,39284.44288700883
25,9.021991729736328,38904,41.69039465012749,53.9900615738859,233.89121050692756,38902.922637544856
26,9.021989822387695,39195,75.05891860181544,119.3105622878677,160.5136187367124,39194.222639011175
27,9.021986961364746,38516,66.51940730812936,12.643473126126958,313.832236949211,38513.33057243288
28,9.021993637084961,39604,66.27566095227613,68.20472585380637,255.79237273174743,39603.284045079854
29,9.021988868713379,38894,34.99021794158001,109.9519302501941,196.7913160169096,38893.29563086615
30,9.021986961364746,38929,68.97546006715204,130.44721616335738,85.3645879313563,38927.82826051329
31,9.021984100341797,38544,95.90626644391251,31.61965115099671,326.6460345729928,38542.418085455705
32,9.021989822387695,38257,88.6788715060814,87.97973475453024,295.9080300954214,38256.791121984796
33,9.021989822387695,38908,18.6944869254689,97.82140640411923,286.4653004767307,38907.601111955366
34,9.021993637084961,39252,70.89166702522094,95.64048458810201,146.21947089493963,39251.541225975634
35,8.718941688537598,37595,124.05817665405567,112.89678047008665,179.08294777280443,37572.652105667206
36,9.021993637084961,39138,37.817813897909964,25.093402171935374,262.01699547789235,39136.383828756356
37,9.021990776062012,39053,38.068579615252354,107.87518347675498,340.76475311902595,39052.30257383655
38,9.021991729736328,38536,40.75659744810835,92.29149803475303,359.49417608624685,38535.42123355927
39,9.021986961364746,39371,88.20530413496378,56.55781832381379,97.98422246559527,39370.29002138552
40,9.021992683410645,39051,22.015391233345643,117.18817486116988,321.80149102280916,39050.35981296406
41,9.021989822387695,39054,70.31540228167978,133.71341635084912,126.8361385556776,39052.72130676081
42,9.021989822387695,38655,36.52193765132011,51.61197329821555,158.26980679852426,38653.940023598945
43,9.021987915039062,39241,34.904242303086605,126.36631754052598,69.25719434538705,39239.98504972381
44,9.02198600769043,38440,58.79217224600344,29.956574858302393,94.26465120298114,38438.09355798975
45,9.021991729736328,38274,103.58232179705264,113.67889887098873,165.6369022994117,38273.01330097648
46,9.021992683410645,39333,32.25693867463743,159.6946648762505,311.3219873289314,39331.48899556457
47,9.021987915039062,39436,95.43347454031148,107.91306862174974,53.221776492194586,39435.707903189665
48,8.9227876663208,38192,35.49498848059636,92.10084521893904,105.36640540561336,38191.45154241483
49,9.021986961364746,38990,25.621723502329395,133.03288975852158,225.99748183258552,38989.098041042314
50,9.021992683410645,38986,88.15534705131704,148.83394700084241,83.56582153054067,38984.27652368838
51,8.987663269042969,39042,75.3207165607864,152.82597494584996,175.2818154742677,39039.92802804025
52,9.021988868713379,39074,56.53886383290927,12.586122478288733,228.1128080402489,39071.505653117034
53,9.021991729736328,39129,32.29083088407293,41.18275065707363,252.23682389261117,39127.83210232913
54,9.021987915039062,38657,41.101874188113705,69.47899796017509,130.93651619315202,38656.25677054247
55,9.021984100341797,38466,55.06635721238384,109.10493638437981,314.1354022147467,38465.278968325794
56,9.021987915039062,38350,32.52361875120905,89.74840566578972,79.92230464798318,38349.47147364834
57,9.021988868713379,39138,55.19535550204614,122.03443945658553,295.78828087151226,39136.997399768086
58,9.021990776062012,39101,111.62300183752474,107.26654577778874,8.640944598803262,39094.523765097656
59,9.021986961364746,38961,59.51556404407773,113.72782043455427,333.051613948846,38960.207674496436
60,9.021988868713379,38390,26.598515785580528,36.29526229633282,135.38159645792427,38388.95218487878
